<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US1.XOM;D;07/12/21;000000;62.2700000
US1.XOM;D;08/12/21;000000;62.4500000
US1.XOM;D;09/12/21;000000;62.6200000
US1.XOM;D;10/12/21;000000;63.0200000
US1.XOM;D;13/12/21;000000;61.6400000
US1.XOM;D;14/12/21;000000;61.5500000
US1.XOM;D;15/12/21;000000;61.2600000
US1.XOM;D;16/12/21;000000;61.3600000
US1.XOM;D;17/12/21;000000;60.0200000
US1.XOM;D;20/12/21;000000;59.1800000
US1.XOM;D;21/12/21;000000;60.5000000
US1.XOM;D;22/12/21;000000;61.0000000
US1.XOM;D;23/12/21;000000;61.0100000
US1.XOM;D;27/12/21;000000;61.8800000
US1.XOM;D;28/12/21;000000;61.6900000
US1.XOM;D;29/12/21;000000;61.1500000
US1.XOM;D;30/12/21;000000;60.7900000
US1.XOM;D;31/12/21;000000;61.1800000
US1.XOM;D;03/01/22;000000;63.5300000
US1.XOM;D;04/01/22;000000;65.9300000
US1.XOM;D;05/01/22;000000;66.7400000
US1.XOM;D;06/01/22;000000;68.3300000
US1.XOM;D;07/01/22;000000;68.8700000
US1.XOM;D;10/01/22;000000;68.4600000
US1.XOM;D;11/01/22;000000;71.3500000
US1.XOM;D;12/01/22;000000;71.1500000
US1.XOM;D;13/01/22;000000;70.6500000
US1.XOM;D;14/01/22;000000;71.8600000
US1.XOM;D;18/01/22;000000;73.1500000
US1.XOM;D;19/01/22;000000;73.1300000
US1.XOM;D;20/01/22;000000;73.2600000
US1.XOM;D;21/01/22;000000;72.1800000
US1.XOM;D;24/01/22;000000;72.8400000
US1.XOM;D;25/01/22;000000;74.9300000
US1.XOM;D;26/01/22;000000;74.1900000
US1.XOM;D;27/01/22;000000;75.1300000
US1.XOM;D;28/01/22;000000;75.2900000
US1.XOM;D;31/01/22;000000;75.9200000
US1.XOM;D;01/02/22;000000;80.9000000
US1.XOM;D;02/02/22;000000;80.6200000
US1.XOM;D;03/02/22;000000;79.6900000
US1.XOM;D;04/02/22;000000;81.4300000
US1.XOM;D;07/02/22;000000;82.4000000
US1.XOM;D;08/02/22;000000;80.2700000
US1.XOM;D;09/02/22;000000;78.9900000
US1.XOM;D;10/02/22;000000;78.2400000
US1.XOM;D;11/02/22;000000;80.2100000
US1.XOM;D;14/02/22;000000;78.9700000
US1.XOM;D;15/02/22;000000;77.9800000
US1.XOM;D;16/02/22;000000;78.3700000
US1.XOM;D;17/02/22;000000;78.2100000
US1.XOM;D;18/02/22;000000;77.4200000
US1.XOM;D;22/02/22;000000;76.4800000
US1.XOM;D;23/02/22;000000;76.7800000
US1.XOM;D;24/02/22;000000;75.8000000
US1.XOM;D;25/02/22;000000;77.8600000
US1.XOM;D;28/02/22;000000;78.4100000
US1.XOM;D;01/03/22;000000;79.1800000
US1.XOM;D;02/03/22;000000;80.5200000
US1.XOM;D;03/03/22;000000;81.0600000
US1.XOM;D;04/03/22;000000;84.1100000
US1.XOM;D;07/03/22;000000;87.1400000
US1.XOM;D;08/03/22;000000;87.7800000
US1.XOM;D;09/03/22;000000;82.7800000
US1.XOM;D;10/03/22;000000;85.3700000
US1.XOM;D;11/03/22;000000;84.9200000
US1.XOM;D;14/03/22;000000;81.8700000
US1.XOM;D;15/03/22;000000;77.2500000
US1.XOM;D;16/03/22;000000;76.9400000
US1.XOM;D;17/03/22;000000;78.9600000
US1.XOM;D;18/03/22;000000;78.6100000
US1.XOM;D;21/03/22;000000;82.2100000
US1.XOM;D;22/03/22;000000;81.8400000
US1.XOM;D;23/03/22;000000;83.1300000
US1.XOM;D;24/03/22;000000;83.3900000
US1.XOM;D;25/03/22;000000;85.1900000
US1.XOM;D;28/03/22;000000;82.8000000
US1.XOM;D;29/03/22;000000;82.3800000
US1.XOM;D;30/03/22;000000;83.7900000
US1.XOM;D;31/03/22;000000;82.6300000
US1.XOM;D;01/04/22;000000;83.1200000
US1.XOM;D;04/04/22;000000;83.1800000
US1.XOM;D;05/04/22;000000;82.7500000
US1.XOM;D;06/04/22;000000;83.6500000
US1.XOM;D;07/04/22;000000;85.0600000
US1.XOM;D;08/04/22;000000;86.8900000
US1.XOM;D;11/04/22;000000;83.8700000
US1.XOM;D;12/04/22;000000;85.5900000
